##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR21623193_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	55419239
Total Bases	7.6 Gbp
Sequences flagged as poor quality	0
Sequence length	92-141
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.64161240106527	37.0	37.0	37.0	37.0	37.0
2	36.42981555556907	37.0	37.0	37.0	37.0	37.0
3	36.441046817694485	37.0	37.0	37.0	37.0	37.0
4	36.42481339377468	37.0	37.0	37.0	37.0	37.0
5	36.42791625124986	37.0	37.0	37.0	37.0	37.0
6	36.37799008752177	37.0	37.0	37.0	37.0	37.0
7	36.404360929604245	37.0	37.0	37.0	37.0	37.0
8	36.44862613505032	37.0	37.0	37.0	37.0	37.0
9	36.45339862930994	37.0	37.0	37.0	37.0	37.0
10-14	36.44714872753846	37.0	37.0	37.0	37.0	37.0
15-19	36.40424771260392	37.0	37.0	37.0	37.0	37.0
20-24	36.38169666313895	37.0	37.0	37.0	37.0	37.0
25-29	36.37401164602784	37.0	37.0	37.0	37.0	37.0
30-34	36.346958178187904	37.0	37.0	37.0	37.0	37.0
35-39	36.31475806804203	37.0	37.0	37.0	37.0	37.0
40-44	36.27550375781955	37.0	37.0	37.0	37.0	37.0
45-49	36.26538727823383	37.0	37.0	37.0	37.0	37.0
50-54	36.24951302922077	37.0	37.0	37.0	37.0	37.0
55-59	36.25297869932858	37.0	37.0	37.0	37.0	37.0
60-64	36.23466430132684	37.0	37.0	37.0	37.0	37.0
65-69	36.20708317196488	37.0	37.0	37.0	37.0	37.0
70-74	36.15223204706943	37.0	37.0	37.0	37.0	37.0
75-79	36.15326766576495	37.0	37.0	37.0	37.0	37.0
80-84	36.09734118146227	37.0	37.0	37.0	37.0	37.0
85-89	36.09232778891099	37.0	37.0	37.0	37.0	37.0
90-94	36.032325735861704	37.0	37.0	37.0	37.0	37.0
95-99	36.03249891440716	37.0	37.0	37.0	37.0	37.0
100-104	36.005878460801306	37.0	37.0	37.0	37.0	37.0
105-109	35.975476539241505	37.0	37.0	37.0	37.0	37.0
110-114	35.93898017220396	37.0	37.0	37.0	37.0	37.0
115-119	35.898000628608415	37.0	37.0	37.0	37.0	37.0
120-124	35.84805149628073	37.0	37.0	37.0	37.0	37.0
125-129	35.81814138651415	37.0	37.0	37.0	37.0	37.0
130-134	35.81074589297193	37.0	37.0	37.0	37.0	37.0
135-139	35.73363910903559	37.0	37.0	37.0	37.0	37.0
140-141	35.67860402748779	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.3457908751208052
1101	2	-0.8011071432706842
1101	3	-0.32607317901553046
1101	4	-0.9940794831883579
1101	5	-0.453332151620927
1101	6	-0.8199771625211483
1101	7	-0.33021805543458527
1101	8	-0.5150508703733934
1101	9	-0.39628170172000665
1101	10-14	-0.49721167010275025
1101	15-19	-0.6403372262978806
1101	20-24	-0.5678333602687076
1101	25-29	-0.43583354191110146
1101	30-34	-0.49882319728505564
1101	35-39	-0.508958772204771
1101	40-44	-0.6782696998422395
1101	45-49	-0.6106805531875068
1101	50-54	-0.6447723935029614
1101	55-59	-0.4728326119639874
1101	60-64	-0.46639174142560336
1101	65-69	-0.6460748147454396
1101	70-74	-0.7264661226285014
1101	75-79	-0.719069099538828
1101	80-84	-0.6717408835959304
1101	85-89	-0.629174579373732
1101	90-94	-0.5885325466809803
1101	95-99	-0.564988831243042
1101	100-104	-0.5917657582362992
1101	105-109	-0.7437101216062132
1101	110-114	-0.8664337416357313
1101	115-119	-0.8739873674584118
1101	120-124	-0.49602704115724094
1101	125-129	-0.957575789580396
1101	130-134	-0.8129860627893137
1101	135-139	-0.9838349186898725
1101	140-141	-0.4607972037471484
1102	1	-0.10861332933931322
1102	2	-0.13819007458722865
1102	3	-0.09181869011808175
1102	4	-0.2770044297868566
1102	5	-0.0835283779798317
1102	6	-0.15020690108509172
1102	7	-0.1935256725679153
1102	8	-0.07416936112294792
1102	9	-0.0836376480765253
1102	10-14	-0.14762014789017996
1102	15-19	-0.2155603024429027
1102	20-24	-0.1297097414856907
1102	25-29	-0.1758607244683219
1102	30-34	-0.1820372209365999
1102	35-39	-0.19951826817942475
1102	40-44	-0.19983440131969132
1102	45-49	-0.1839404757416787
1102	50-54	-0.17360091551844192
1102	55-59	-0.13642140920384804
1102	60-64	-0.21262692702428154
1102	65-69	-0.21587012497346336
1102	70-74	-0.26908214009672093
1102	75-79	-0.26777645481013224
1102	80-84	-0.21111186728801812
1102	85-89	-0.27947661071041097
1102	90-94	-0.27740262142562955
1102	95-99	-0.16233178793989111
1102	100-104	-0.21724242037807073
1102	105-109	-0.3197050775749162
1102	110-114	-0.34156132437989584
1102	115-119	-0.24710563332597246
1102	120-124	-0.18738352422847981
1102	125-129	-0.36305568396664967
1102	130-134	-0.35623893885698266
1102	135-139	-0.399657249746582
1102	140-141	-0.30109257979784587
1103	1	-0.07865001325787091
1103	2	0.016503848402649623
1103	3	-0.13368090312437886
1103	4	-0.21294732605393563
1103	5	-0.07456721867323779
1103	6	-0.06957715284784882
1103	7	-0.10802229165141597
1103	8	-0.08914809620944908
1103	9	-0.09869193028735879
1103	10-14	-0.15920990868038842
1103	15-19	-0.17025970597194373
1103	20-24	-0.1340778042648978
1103	25-29	-0.12280582275982255
1103	30-34	-0.11849457962981802
1103	35-39	-0.14184213088815056
1103	40-44	-0.12461008355477077
1103	45-49	-0.12482298475835307
1103	50-54	-0.1282825115110242
1103	55-59	-0.19554739923864872
1103	60-64	-0.20796901960822822
1103	65-69	-0.17367818586849637
1103	70-74	-0.12734543705810353
1103	75-79	-0.20528208044304108
1103	80-84	-0.16932999055411813
1103	85-89	-0.16509430724205743
1103	90-94	-0.18603198931106846
1103	95-99	-0.14497377479091966
1103	100-104	-0.19798611728422344
1103	105-109	-0.1891859780662699
1103	110-114	-0.2960446424201777
1103	115-119	-0.2859207389007352
1103	120-124	-0.09493765292869227
1103	125-129	-0.368005320455822
1103	130-134	-0.3063183762548576
1103	135-139	-0.3380314263055979
1103	140-141	-0.2743769626351025
1104	1	-0.05260818439275994
1104	2	0.05405536262873056
1104	3	-0.017256994161108707
1104	4	-0.17550983210236382
1104	5	-0.03444698337289509
1104	6	-0.010172254965475247
1104	7	-0.07555564634890288
1104	8	-0.059122924685119926
1104	9	0.00966332808994963
1104	10-14	-0.05303657308338927
1104	15-19	-0.04920851605903209
1104	20-24	-0.039087028019558545
1104	25-29	-0.030969473498139166
1104	30-34	-0.021087042370638187
1104	35-39	-0.06113724114290875
1104	40-44	-0.0469235666447787
1104	45-49	-0.056789581673413636
1104	50-54	-0.09975524157832893
1104	55-59	-0.09467920433195331
1104	60-64	-0.12421786308100025
1104	65-69	-0.12481828815523244
1104	70-74	-0.11175971942856222
1104	75-79	-0.11719793582448546
1104	80-84	-0.12968890829577617
1104	85-89	-0.13655548459431088
1104	90-94	-0.12996476543789726
1104	95-99	-0.10675877722388094
1104	100-104	-0.12574305250775808
1104	105-109	-0.08565719364798241
1104	110-114	-0.19077364227647564
1104	115-119	-0.1845509278959625
1104	120-124	-0.03512062064457666
1104	125-129	-0.14428021136981783
1104	130-134	-0.16178739988892232
1104	135-139	-0.3237508356959182
1104	140-141	-0.19496372861167544
1105	1	0.0023011696028092388
1105	2	0.0275169561479629
1105	3	-0.14331079092459476
1105	4	0.007516557792904166
1105	5	-0.08931416615332921
1105	6	-0.07822250227229688
1105	7	-0.014112075358937659
1105	8	-0.022585131704332184
1105	9	-0.003026559827468134
1105	10-14	-0.06291617785676351
1105	15-19	-0.06202848808123207
1105	20-24	-0.06533983091306084
1105	25-29	-0.04448330847549187
1105	30-34	-0.05418575341269616
1105	35-39	-0.06137471538005457
1105	40-44	-0.04432985452218219
1105	45-49	-0.045052000488297494
1105	50-54	-0.06026513191658012
1105	55-59	-0.03884586408983637
1105	60-64	-0.06491129492805925
1105	65-69	-0.11034584010788961
1105	70-74	-0.07494828334669279
1105	75-79	-0.10780522343051757
1105	80-84	-0.1173293044509478
1105	85-89	-0.08898863105886079
1105	90-94	-0.1246741917808123
1105	95-99	-0.09298311321501274
1105	100-104	-0.03335354398127777
1105	105-109	-0.0068363602449323935
1105	110-114	-0.12141134662815034
1105	115-119	-0.11897366616676663
1105	120-124	0.010925422450632993
1105	125-129	-0.11767183549339677
1105	130-134	-0.1184177376487412
1105	135-139	-0.09694988154802076
1105	140-141	-0.16913875016530966
1106	1	-0.02603789452899008
1106	2	-0.06986309843586724
1106	3	-0.08861956321359798
1106	4	-0.03399607094029733
1106	5	0.020922343256195575
1106	6	-0.035925182070855044
1106	7	-0.0015363149863034664
1106	8	-0.018181450792056353
1106	9	-0.029700755683734315
1106	10-14	-0.005350589721324184
1106	15-19	-0.015482635260660516
1106	20-24	-0.04113083492993752
1106	25-29	-0.013370839947342006
1106	30-34	-0.020771030994225725
1106	35-39	-0.06995315851593631
1106	40-44	-0.047389983435785155
1106	45-49	-0.03763395873765063
1106	50-54	0.016607614151141092
1106	55-59	-0.022671945403970994
1106	60-64	-0.05581113377208169
1106	65-69	-0.08251369852333568
1106	70-74	-0.07176001277245092
1106	75-79	-0.04810831526481252
1106	80-84	-0.021823425138371988
1106	85-89	-0.08800173665938615
1106	90-94	-0.09857320539006764
1106	95-99	-0.03167968004062516
1106	100-104	-0.06525227756759477
1106	105-109	-0.07831735854934152
1106	110-114	-0.0846658724194711
1106	115-119	-0.04987583297484832
1106	120-124	0.025157236036598363
1106	125-129	-0.05185317818244073
1106	130-134	-0.0683355595637849
1106	135-139	-0.15267333279789597
1106	140-141	-0.11124037535103071
1107	1	0.010295875214282546
1107	2	-0.039142851150387514
1107	3	-0.06124804839443243
1107	4	-0.07334952319927623
1107	5	-0.06001877332820982
1107	6	-0.12320008863393639
1107	7	-0.03284698603010838
1107	8	-0.021678688548689706
1107	9	-0.054649532038361315
1107	10-14	-0.03399360661136086
1107	15-19	-0.05590786627575994
1107	20-24	-0.057537060865286094
1107	25-29	-0.04560640328826793
1107	30-34	-0.0802837672620953
1107	35-39	-0.03624355931832923
1107	40-44	-0.08239754809966371
1107	45-49	-0.08973858560490555
1107	50-54	-0.12213398731820746
1107	55-59	-0.06995020654529327
1107	60-64	-0.10206631599965021
1107	65-69	-0.10846888207744598
1107	70-74	-0.08868293818952111
1107	75-79	-0.09454006252566671
1107	80-84	-0.11001519729326503
1107	85-89	-0.14338348519058286
1107	90-94	-0.13878996720050907
1107	95-99	-0.11621414176775602
1107	100-104	-0.07117157830608534
1107	105-109	-0.1068191726390495
1107	110-114	-0.1099600693915761
1107	115-119	-0.1454425596035307
1107	120-124	-0.07011846132629529
1107	125-129	-0.11095464180353076
1107	130-134	-0.1339138628632881
1107	135-139	-0.13457039143877125
1107	140-141	-0.21487556272025188
1108	1	0.04732825965092502
1108	2	0.017458780165576115
1108	3	-0.007484242860869017
1108	4	-0.04351367393604022
1108	5	-0.017529764529520264
1108	6	0.005535730247920867
1108	7	-0.08406282803743181
1108	8	0.11308395135408489
1108	9	-0.018640597860915875
1108	10-14	0.005820502699094732
1108	15-19	-0.02279297221612353
1108	20-24	0.027251488560430914
1108	25-29	-0.017869177176486062
1108	30-34	0.0031004105916139224
1108	35-39	0.013204695731879212
1108	40-44	-0.0032923746056781056
1108	45-49	-0.024592273221635708
1108	50-54	0.008945365919750259
1108	55-59	0.007381481796585376
1108	60-64	-0.03312494615634165
1108	65-69	-0.010074421798300648
1108	70-74	-0.06795395871847631
1108	75-79	-0.0368390190045389
1108	80-84	-0.06340167147309472
1108	85-89	0.008766840744250715
1108	90-94	-0.04832053650987689
1108	95-99	-0.007653950524669995
1108	100-104	-0.039819510773099864
1108	105-109	-0.04456987363649034
1108	110-114	-0.028033792253999934
1108	115-119	-0.00650893472104741
1108	120-124	0.04857721553701566
1108	125-129	-0.028286176420103004
1108	130-134	-0.0460107187635046
1108	135-139	-0.023381810594585772
1108	140-141	-4.927527648916907E-4
1109	1	0.020243815833687506
1109	2	-0.03706058823226499
1109	3	-0.032020673392260335
1109	4	-0.022999100845019882
1109	5	-0.04652893055079943
1109	6	-0.044643151529143665
1109	7	-0.010313264792344512
1109	8	-0.00622057329929504
1109	9	-0.0763562329358507
1109	10-14	-0.02529241824692008
1109	15-19	-0.019893151962207867
1109	20-24	-0.0168826995515019
1109	25-29	-0.018957458486042356
1109	30-34	-0.03161842692762207
1109	35-39	-0.012041197638438916
1109	40-44	-0.030801271937313857
1109	45-49	-0.03129704276948786
1109	50-54	-0.058366788377924195
1109	55-59	-0.0634401728591456
1109	60-64	-0.0574652797534938
1109	65-69	-0.06334215333933457
1109	70-74	-0.07358355031260544
1109	75-79	-0.04081106442308169
1109	80-84	-0.06323989716989331
1109	85-89	-0.07668222831956939
1109	90-94	-0.10418401717760872
1109	95-99	-0.07177033698255997
1109	100-104	-0.08034405800403022
1109	105-109	-0.06967755349854343
1109	110-114	-0.11833415953073967
1109	115-119	-0.05894659126894908
1109	120-124	-0.056931339405068115
1109	125-129	-0.04428671011143592
1109	130-134	-0.012294712041068578
1109	135-139	-0.09001857354311937
1109	140-141	-0.11754227119683236
1110	1	-0.14064011813305655
1110	2	-0.16327748211357118
1110	3	-0.1555231389965357
1110	4	-0.23581923081611933
1110	5	-0.11536581262779322
1110	6	-0.09108930428947559
1110	7	-0.16003923221549599
1110	8	-0.21727061956892157
1110	9	-0.21235051243024117
1110	10-14	-0.1726672196221628
1110	15-19	-0.22254671972829243
1110	20-24	-0.20776195734795522
1110	25-29	-0.20824900041030503
1110	30-34	-0.2080993093206729
1110	35-39	-0.23568929093914903
1110	40-44	-0.26840845619950215
1110	45-49	-0.23434426365371763
1110	50-54	-0.22632282394157244
1110	55-59	-0.2724256182439788
1110	60-64	-0.24787854016894073
1110	65-69	-0.2535947480795784
1110	70-74	-0.3275317761375973
1110	75-79	-0.37321469187149603
1110	80-84	-0.3732868472692772
1110	85-89	-0.3578311321470764
1110	90-94	-0.34113383640714545
1110	95-99	-0.3659519870345136
1110	100-104	-0.42925351542319135
1110	105-109	-0.30484154888829096
1110	110-114	-0.3897869212050793
1110	115-119	-0.3553060242480228
1110	120-124	-0.2968509771122214
1110	125-129	-0.43561865605150274
1110	130-134	-0.40554144162611294
1110	135-139	-0.37911564640989326
1110	140-141	-0.4211548368473075
1111	1	0.05690150896021606
1111	2	0.07482834338776456
1111	3	-0.0363703248112941
1111	4	0.0021121446181098236
1111	5	-0.05870400923626562
1111	6	0.017225044590318817
1111	7	-0.02336204850387702
1111	8	-0.060317803042103435
1111	9	-0.04921947442186081
1111	10-14	0.023970719661072337
1111	15-19	-0.01979606604617601
1111	20-24	-0.020441235485890275
1111	25-29	-0.004331867154760971
1111	30-34	-0.007911544759551248
1111	35-39	-0.051771781094778646
1111	40-44	-0.03959138461393508
1111	45-49	-0.006682789877096695
1111	50-54	-0.02542530626290329
1111	55-59	-0.016188870246189424
1111	60-64	-0.102421720990165
1111	65-69	-0.06255337432916974
1111	70-74	-0.024728425659418463
1111	75-79	-0.0552152136834394
1111	80-84	-0.040150253578900674
1111	85-89	-0.10095495799544096
1111	90-94	-0.05614263053038826
1111	95-99	-0.014248209810126866
1111	100-104	-0.0523070898644562
1111	105-109	-0.04595084501749369
1111	110-114	-0.09990362900415306
1111	115-119	-0.0820753466049311
1111	120-124	-0.03320540169209352
1111	125-129	-0.07886175164023967
1111	130-134	-0.059017060130265975
1111	135-139	-0.06551086286906127
1111	140-141	-0.1635881825541432
1112	1	-0.03966770759542726
1112	2	0.025728571240307474
1112	3	-0.02845068670669093
1112	4	-0.05713903126635955
1112	5	-0.03292415453396558
1112	6	-0.15577487854027083
1112	7	0.008988371594718103
1112	8	-0.11061261899787667
1112	9	-0.023524553169501417
1112	10-14	-0.05095715217295549
1112	15-19	-0.03560487296036996
1112	20-24	-0.020629295780508983
1112	25-29	-0.06696226886270296
1112	30-34	-0.016870155656732777
1112	35-39	-0.02669738455593773
1112	40-44	-0.019570760405294152
1112	45-49	-0.051923937929046815
1112	50-54	-0.08022204757991602
1112	55-59	-0.024870229123372667
1112	60-64	-0.046643650238401335
1112	65-69	-0.056535642150912224
1112	70-74	-0.047068754109361066
1112	75-79	-0.06813005252598714
1112	80-84	-0.06615326744005756
