"" "SRR21623193" "SRR21623194" "SRR21623195" "SRR21623196" "SRR21623197" "SRR21623198"
"LOC105612255" -1.53471125065159 -0.658819907172834 -1.01618165052966 0.719674069983283 0.658819907172834 0.671074278305841
"LOC101107265" 0.384170597801321 -0.178755380701329 0.178755380701329 -1.61403262403096 1.0223628248121 -1.21459324129607
"PTDSS2" -0.403711507608218 0.919959116726458 2.12115265238886 0.315872845068303 -0.377856384709754 -0.315872845068303
"LOC105606144" -0.746391293766968 -0.746391293766968 -0.0749708827408973 1.89012654297462 0.712136383418611 0.0749708827408973
"LOC105606142" 0 2.44948974278318 0 0 0 0
"LOC101106755" -1.07584418798995 -1.53099004296674 -0.0198834969336264 0.0198834969336264 1.17725766971372 0.504507566414915
"LOC101106506" 0.405979412668858 0.415311076466196 1.78042506208397 -0.98292793898003 -0.644680031970649 -0.405979412668858
"LOC101106245" 0.162069443252932 -1.471141701883 0.797938966069654 -1.20881226842282 0.916812287717056 -0.162069443252933
"LOC105606140" 1.53294362668837 0.00816144401342835 1.4406264679117 -0.16084659705074 -0.00816144401342995 -1.03656395194372
"LOC105606139" 0.133272422376533 1.63720993771318 0.698336661893181 -0.133272422376532 -1.10467380865832 -0.780890264306297
"LOC101105991" -0.609940923480287 0.306331282234264 0.284032128224936 0.376861017057824 -0.284032128224946 -2.23883599520928
"LOC101105734" -0.76618486759434 0.522775839434139 0.517178094833308 0.0984230186935134 -0.0984230186935134 -2.0996301935928
"LOC101105485" 0.519691358932861 0.582520904446715 0.43577095241288 -1.97411565438358 -0.435770952412881 -0.739048505333856
"LOC105606138" 1.85802868603218 0.346561583336165 -0.440783152462415 -0.837542684792334 0.87406700936159 -0.346561583336166
"LOC105606137" -0.0948362752443511 0.00149747024887554 0.158609460277596 0.908781991674761 -2.08473427163083 -0.00149747024887345
"LOC105606136" 1.41805172063778 0.519803938680217 0.844817865411572 -0.86317601645297 -0.519803938680218 -1.00774544219216
"LOC105606135" 1.65094930577713 -0.30137970887857 1.06824394891837 0.30137970887857 -0.793551214191424 -0.74453935983407
"LOC101105230" -0.240637092145074 -1.28011945414701 -0.893668549408544 0.240637092145074 0.630779539087843 1.43213280174908
"LOC105606134" 0.305324682479018 -0.745019170358596 -0.354504789646929 0.791558354526125 -0.305324682479018 1.99517047270832
"LOC101104976" 0 0 0 2.48208871631858 0.789105597728223 0
"LOC105606132" 0 0 0 0 2.32953046643716 1.35492594329273
"LOC106992043" 0.916314417605585 -1.68507131602206 -0.951229750919664 -0.132711173689233 0.736286417585136 0.132711173689233
"LOC106992042" 0.923875724588483 -1.67674564742677 -0.95047429991958 -0.133244729489101 0.741741951908521 0.1332447294891
"LOC105606130" 0.716920721349371 -0.716920721349371 -0.716920721349371 1.3834416909295 -0.716920721349371 1.10205088654983
"LOC105606129" 0 0 0 2.44948974278318 0 0
"LOC105606131" -0.507216920802264 2.13656933535837 -0.0546430687984468 0.884201136394428 0.054643068798447 -0.382914073758989
"LOC101104218" 1.52851105857916 0 0 2.24402823848459 0 0
"LOC105601936" -0.0787228710113429 -2.22237969800017 0.167191384437221 0.646259886432696 0.0787228710113452 -0.289130870727373
"LOC101103959" -0.183308627326865 0.511773875858982 0.180378743960905 0.364792270558463 -0.180378743960905 -2.21144473118655
"LOC105606125" -0.916171871612925 0.103481856242876 -1.56072809432288 0.261824856877899 -0.103481856242876 1.32879734529326
"LOC101103708" 0 1.63779735185149 0 0 2.17821206902233 0
"LOC101103461" 0 0 0 0 2.44948974278318 0
"CYP17A1" -0.202446030870133 -0.22882760068939 -0.440481784627105 1.03926420041916 0.202446030870133 2.15791461916007
"LOC101102968" 1.00085981751497 0.528619209621741 1.50873196941852 -0.745666754013073 -0.861825216765834 -0.528619209621741
"LOC101102711" 1.84128672464141 0.679243824594059 0.0815185256156719 -0.354575122180057 -1.09555332076106 -0.0815185256156729
"LOC101102466" -0.303549214236622 1.52507419848254 0.303549214236619 -0.894987259098083 0.933633954705229 -0.939246790698185
"LOC105606123" -0.183032634282252 1.04198548826356 0.752667717034111 0.183032634282252 -0.610590124697298 -1.71920469513722
"LOC101123541" 0.0916413304424047 -0.282469598424963 1.78756525007166 -1.29987976457325 -0.0916413304424087 0.22024288341611
"ABTB1" 1.08431442016627 -0.172674174722282 1.86063478821443 -0.539521917875971 0.172674174722284 -0.703211737025052
"LOC101123021" 0.835205078787644 -1.13984084131153 -0.246856636253341 1.58385752459996 0.246856636253341 -0.660668128810962
"LOC105606122" 1.12027280780106 -0.0209436229263577 1.29500571915912 -1.24114187074102 -0.746411469631754 0.0209436229263554
"LOC101122769" -0.0967254254234175 0.0967254254234163 1.86010733540905 -1.20804319218616 -0.199993164088773 0.364925614335186
"LOC101122261" -1.51048988552202 0.438858539866601 0.874730489760186 -1.46093829624969 -0.205427758941646 0.205427758941646
"LOC105606118" 1.1791742462419 -0.146823053744493 1.34466915987015 -1.24319152687055 0.146823053744504 -0.549440927476593
"LOC105606117" 1.5934055247666 0.535262519293074 -0.642186333781523 -1.15286544451211 0.475184604882524 -0.475184604882524
"LOC105606116" 0.645680482038619 1.31838683701448 0.166830921736174 -0.166830921736177 -1.54839793889567 -0.632106877631553
"LOC105606114" 0.0274908545367212 -0.027490854536721 -0.178864656247029 2.2470675817577 1.32772509177081 -0.0644229419383294
"LOC105606115" 0.442491627996451 0.0605460109992942 -0.899237974989103 1.79200947871844 -0.0605460109992942 -0.899237974989103
"LOC101122009" 0 0 1.44795766643414 0 2.28640946498867 0
