"" "SRR21623193" "SRR21623194" "SRR21623195" "SRR21623196" "SRR21623197" "SRR21623198"
"LOC101122769" 6.25676752315633 6.51562741002679 9.34475353798061 4.93331156943727 6.12225306578889 6.88985570035298
"LOC101122261" 6.68294315984125 8.26711510965333 8.66383010588027 6.71964276481706 7.71034078843622 8.06139439861784
"LOC105606118" 66.0688663151464 58.979536350059 67.0105640712122 53.6874025049807 60.4819355289628 56.9790949403979
"LOC105606117" 1.72189752646984 0.929394920503356 0.315587987870489 0.114274765005685 0.892063945854909 0.389015174821737
"LOC105606116" 17.3905077433618 19.1902471522634 16.2080111307982 15.4292955731659 12.5626290070865 14.4018915578009
"LOC105606114" 0.153503662729649 0.141158099485053 0.107847104725903 0.781031155986437 0.48775754458841 0.132939661557025
"LOC105606115" 0.281210772719873 0.193945754417136 0 0.643863911417074 0.167539987614855 0
"LOC101122009" 0 0 0.264812692792316 0 0.449123283630912 0
"LOC101121756" 19.0587638262139 17.704795190585 19.8802295117726 18.9985080579567 12.7452354562948 19.9582670438715
"LOC105606113" 159.330210795653 106.801653576487 130.194487158733 61.2822638098285 76.8154751802872 67.3536917599831
"LOC101121500" 0 0.106657033869546 0.0181083831902667 0.22294024059843 0.552813899553824 0.334824333779372
"LOC101120995" 0 0 0 0 0 0
"LOC101120735" 0 0 0 0 0 0
"LOC101120480" 0 0 0 0 0 0
"LOC105606111" 0.305479925830146 0.117982889121835 0.29617712342636 0.596847689350829 0.509597434644607 0.52382195001574
"LOC443162" 0.210180308388974 0.579829543226386 0.221499643660654 0 0 0
"LOC105606110" 0.062356934245623 0.344051190882487 0.197145567361356 0.190364350550011 0.52011492469624 0.243015007858542
"LOC106990114" 86.4665902991254 90.0621502179633 89.4127740343824 68.2439595179591 71.2069299105522 66.7047939012644
"LOC105606108" 6.27688638861963 5.09740939981998 4.98267479992737 3.02779187322879 3.27016889101994 3.14158908981441
"LOC101119195" 1.14538283259241 0.60978510751421 1.18589120382687 0.797480426571741 0.574650218802497 0.626489996506265
"LOC105606107" 0.403914147023372 0.742858539465105 1.27700126126374 0.822050829430817 0.481288611636309 0.524706144288735
"LOC105606106" 0 0.392237632182555 0 0 0 0
"LOC105606105" 18.5910813502228 17.039653377839 22.4280398223237 13.442016695223 15.302658386846 11.9165190600514
"LOC105606104" 18.4353067103888 16.9526434248393 22.2776082285139 13.694709973829 14.9374271766446 12.2935388721208
"LOC101118429" 8.01808333087092 6.31098273253298 8.37829073822437 3.11157793870902 3.23865785964995 3.67793798149734
"LOC101118174" 0 0.0433391627016937 0.0496677473946591 0.0239796628517037 0.093596310010775 0.0816317822745706
"LOC105606103" 0.57962448830597 0.456864060976092 0.610840371302341 0.25278398262269 0.394661895784423 0.860529489491476
"LOC105606102" 0.0884295199929218 0.487905347349032 0.0931919232474702 0 0.210738451320428 0
"LOC101117914" 6.66900584355378 4.59948727081223 6.18218439742646 3.77023312281531 2.79600188576714 4.33169816927416
"LOC101117402" 0.0630540925166921 0 0 0 0 0
"LOC101117146" 0.0324958671420852 0 0 0 0 0
"LOC101116892" 0 0 0 0 0 0
"LOC101116639" 0 0 0 0 0 0
"LOC101116386" 0 0 0 0 0 0
"LOC105606101" 0.131207463564092 0.155127955711786 0.158027072212845 0.143054451022627 0.156341783125089 0.0486987238790874
"LOC105606099" 8.22345133967696 4.69370395606164 7.17213371316843 3.89555651432788 4.47701478077518 6.26227500697673
"LOC105606098" 25.2542511924613 21.7286122793543 20.5536393479593 14.1216588912937 15.3439393090718 18.6770401359919
"LOC105606097" 5.76342038870202 4.88148328099704 7.99185716295536 3.54980216234792 4.09638607168274 3.02106704988554
"LOC101115864" 0 0.448810367593501 0.34289848682082 0 0 0
"LOC105606096" 41.3827623752863 33.8923294152137 44.6335890233775 31.2133878033204 35.3453349349194 34.0190053676117
"LOC105606095" 12.9142314485238 7.35770978731824 10.4144035997261 9.85619848174034 16.5254845969622 13.5669042219081
"LOC101115610" 0.292556452310877 1.61416524137374 0 2.67936451898056 0.348599052040131 0.760093050516246
"LOC101115353" 0 1.62446443954956 0.558502871805604 1.70775814710352 0.350823291931339 1.37689709788993
"LOC101115105" 0 0 0 0 0 0
"LOC101114853" 0 0 0.179303342829211 0 0 0.0368369118057455
"LOC101114596" 0.714405974327053 0.492712296583998 0.451728337317786 0.817856692545966 1.10663639954471 0.742441347020795
"SYT2" 0.0429429310287116 0.0592338556214773 0.0452556378545244 0 0.102338300387416 0.223140684034803
"LOC106992040" 0 0 0 0 0 0
"LOC101113832" 36.1109079663911 25.2348783362113 28.7937796495052 33.1267603234502 35.1920802724471 36.3863213121027
"LOC105606089" 0 0 0 0 0 0
"LOC105606088" 0 0 0.0716093225489262 0 0 0.353082046223745
"LOC101112551" 0 0 0 0.153119151529357 0 0.0434374651727829
"LOC101112800" 0.162375382200695 0.13438467820458 0.342240332335559 0.421347070203304 0.270872392004312 0.0421868663674244
"LOC101112300" 0.984408135290902 0.678927683341441 0.259355946395384 1.87826159209344 1.17298299207685 1.03902416693297
"LOC105606087" 0.56009428387241 0.386286440521855 0.811605246047623 0.641199646956038 1.58504382765558 1.09138878012057
"LOC105606083" 0.0385117939878127 0 0 0.0293923712723272 0 0
"LOC105606082" 1.9405615806093 2.19298958057663 1.67548003141191 1.60595259342398 1.89441345737884 1.91344935252599
"LOC105606081" 0 0.129536387316533 0 0 0 0
"LOC105606080" 0 0 0 0 0 0
"LOC101111266" 0 0 0.11381311477457 0.109898284643765 0 0
"LOC101111531" 0 0 0 0 0 0
"LOC105606076" 1.70226825986374 3.6999488840635 3.85969882116606 2.36214300834922 1.84396144905374 3.01546061580569
"LOC105606075" 2.70712237204998 1.5558759409908 3.23924770550068 1.76478328757113 1.57925053881181 3.11374229513565
"LOC105606074" 14.6241400867735 11.5548269184072 22.9679640990527 12.1364595181422 8.79737244057641 10.3287609493928
"PPP1R16A" 7.94704484219218 5.97204906642935 7.41445818977544 4.95652364580214 6.78809601896328 4.62528564339817
"GPT" 4.56344078903025 3.22251077069283 3.34838951966424 2.85283672318581 3.58177771006131 4.12745219852286
"LOC105606073" 56.5627224093886 60.7873517475182 54.3896042221379 62.8206979348935 56.6901320653369 64.1040330398632
"LOC105606072" 57.0655636193302 63.6386363608664 52.4906085340317 53.2127494245112 49.466502164539 55.724685640305
"LOC105606070" 0.285160362224366 0.262226282189461 0.200345183311041 0.14509043197351 0.22652410310473 0.246959071656496
"LOC105606069" 0.288400820886006 0.265206126305251 0.202621833121394 0.1467391868823 0.229098240640011 0.249765424743501
"LOC101109686" 0.168633038126037 0.46521207537931 0.710859321515587 0 0 0
"LOC101109428" 5.8705227743679 5.1844244155018 4.60228773002387 3.05979145115363 2.55917921843284 1.48802419480472
"LOC101108900" 0 0 0 0 0 0
"LOC101108639" 0 0 0 0 0 0
"LOC105606067" 23.9763978931562 31.1370649999793 33.1973982265825 11.8748133947365 11.7012789842466 9.60906578812184
"LOC101108375" 0 0 0 0 0 0
"LOC101108116" 0.232837359981363 0 0.163584599217272 0.118468334363692 0.0924800237445915 0.604936441580591
"LOC101107852" 0.327172938611013 0 0.0985122724568101 0.356714045459735 0.167077169969511 0.485731654749793
"LOC101107586" 7.64218167084303 5.69801972285544 8.27142311240618 4.09854640390685 6.70654218988499 6.50660528670558
"LOC105606066" 8.01450702251639 7.10672657257077 9.65272131321165 2.33017415560465 7.27602231927372 5.94929974125874
"LOC105606065" 0.0919538849201759 0.126837712580772 0.096906094101536 0.140359222235244 0.109568723784353 0
"LOC105606064" 3.26304928773881 5.83453477871551 4.96712950909016 0.737888482608138 1.29604147562063 4.70986229516317
"LOC105606063" 1.87585925237159 2.73969459174468 1.97688431967134 0.842155333411462 0.657412342706117 1.57677998577202
"LOC105606062" 5.14010576971515 4.76363915477406 4.06269599575047 3.55517473028763 4.01936913325386 3.23430417104559
"LOC106992039" 0.738306101468176 0.339463841670721 0 0.375652318418689 0.733114370048034 2.15797326978385
"LOC101107342" 0.588040009726496 0.479298275660674 0.366191748958727 3.05996408664512 1.46507058153359 2.46529916871627
"LOC106990512" 0 0 0 0 0 0
"LOC106992038" 0 0 0 0 0 0
"LOC101113151" 0.498263102835355 0.687285287423107 0.745299307643479 0.73601922742737 0.995902674954423 0.897826821307229
"LOC101106834" 0 0.119785145157547 0.114397271052284 0.198832225852492 0.181083639308272 0.05640553646902
"LOC101106577" 8.05368905684869 6.86141289976944 8.34477757527147 2.53095749534591 3.26602451856399 3.91232561318221
"LOC101106315" 9.98197490888254 9.08626594519709 8.60303910565101 3.33107300667846 4.16535622870644 4.25237567095146
"LOC101106065" 0 0 0.0588472650649592 0 0 0
"LOC101105810" 0 0 0 0 0.20110369253188 0
"LOC105606059" 3.07361428487508 2.42264419877461 2.49876890396071 2.14472776951846 1.88352048360092 3.19423186799994
"LOC105606058" 3.67815539680704 2.70587120172314 2.49802375906182 2.12098380266591 1.94788842283294 3.07923364224838
"LOC101105065" 210.27451082449 251.883699636079 221.03668945048 255.701625977676 250.827486382876 252.26757926886
"LOC105606057" 0 0 0 0 0 0
"LOC101104818" 15.7707790661715 14.7642600441834 12.7728699866397 14.1538304309257 11.9015086023621 12.7095823730237
"LOC101104566" 174.124237678501 182.54168057271 170.457026512375 156.161235621689 154.61993992838 156.157758388569
"LOC106992037" 2.16058552625392 1.88887816577121 1.73176070322457 2.69408924405489 2.64699118322199 2.80671649963561
"LOC105606054" 0 0 0 0 0 0
"LOC105606053" 0.616812692365818 0.921708785295818 0.622946719348406 0.392295142652428 0.918712944743739 0.667727312731994
"LOC101103550" 1.49171258586948 2.02424526715086 1.71650788192179 2.40004236400344 1.99844997458686 2.34632695117263
"LOC101103307" 0 0 0 0 0.0283686376777499 0
"CECR6" 0.210398111817356 0.386953601904448 0.49889064818283 0.481730304707904 0.543188367444916 0.911061445696502
"LOC105606051" 1.1545404105006 0.910016797330121 1.95544059909192 2.20287585181552 1.57223552959123 1.82119776807284
"LOC105606050" 3.60385665779154 3.0106199458172 3.42349849241906 1.31713094145553 2.1168677435137 3.16502746234965
"LOC101102799" 1.03853799439258 0.775948359317664 0.866454488437263 0.792616784387259 0.721864533167502 1.06805061424843
"LOC101102551" 0 0 0 0 0 0
"LOC101102299" 14.6710089806467 15.028278655134 13.5129371915999 5.3733491013638 5.24911025125442 4.59854823084509
"LOC101123359" 125.548621228066 142.909008925487 120.587421187255 111.088917892131 117.435381176655 132.665231141245
"LOC101122848" 27.518299738663 24.1621508603754 26.8679320037871 22.2375048403318 19.2880887791681 21.5537889544028
"LOC105606049" 0.221895276397539 0.306073955604748 0.105230486447307 0.152416309522337 0.026440190395175 0.14412693362248
"LOC101122587" 0.338874402795956 0.100163687188249 0.204071202457026 0.44336647023665 0.490316120168034 0.220108013793987
"LOC105606048" 1.30150114040864 3.05191049963581 2.74318789456656 2.7812719729076 3.95458809227834 3.3814395965274
"LOC101122341" 5.7114877631726 6.03572563315398 6.26178688637221 4.49964664530553 3.67721386609847 3.41058993787678
"LOC101122092" 5.89007000744663 4.18174847621248 5.29444626067368 3.17317231428756 5.57342068014333 3.15062460700335
"LOC105606047" 1.45997730995025 3.22214001202314 2.87206249364015 2.82279486635328 3.36332910899314 3.66673843113374
"LOC105606046" 4.06843295417817 1.73699890358706 3.26669703475102 2.21789000020576 0.692541246514841 0.37750804655888
"LOC101121333" 0.65111350973037 1.01526762462869 0.626511680326272 0.99386541299423 1.3830225079127 0.367752772628468
"LOC101121082" 1.46480115802579 0.878474496167957 1.47657165215691 2.52752265686351 2.4283838606359 0.827328383090143
"LOC101120818" 8.52720422574115 6.14021655527692 8.46857720754289 6.61830501200352 5.16645235156288 7.39738052964694
"MRPS2" 38.0339506816939 27.2921213615949 33.2299806319085 24.2253057616598 18.6610930557681 24.2499521478236
"LCN10" 0 0 0 0 0 0
"LOC105606044" 13.2753116321682 12.9257385866928 14.8132146306594 10.3304387565139 16.1285161410567 16.5690540229843
"LOC105606045" 35.9127306320001 28.863882359328 41.7209078115137 25.0347680171786 36.7271920482281 34.1629008819078
"LOC101119804" 25.1012520413085 19.2840961700269 25.1136919925107 43.8922397870663 47.230807244057 59.2307565006749
"LOC105606042" 0.143385718858579 0 0 0 0 0
"NPPC" 0 0.365610534436481 0 0.202293187138001 0 0
"LOC105601850" 0 0 0 0.184472120652035 0.144004608402292 0
"LOC101119029" 5.71033625354293 5.03228624664213 4.51340133277904 2.96596581485849 4.15813306761619 2.88479065578744
"LOC105606040" 0.284096331022036 0.783743477737905 0.0997988133284475 0 0 0.246037582583151
"LOC105606039" 29.8186047451888 23.3681560140452 26.9352825518903 13.7268611451106 15.1691028014762 17.4068029648249
"LOC101118770" 3.95521125786523 2.72783444199686 4.81950503067314 3.33307581632653 4.86015553357737 3.63943904626245
"LOC101119576" 32.4471134401329 25.8980812481193 33.7707994186676 37.3935443105989 38.1835985423556 35.6411151623012
"LOC101118256" 3.26117073316902 2.90215201428336 2.66075012364176 1.92692121883162 1.50421394061669 2.45986590338056
"LOC101117232" 0.324335747450077 0.149125489551834 0.0569671607497848 0 0 0.0702215890652656
"LOC105606037" 0 0 0.0686677329191886 0 0.0776404820654208 0.0846445085138439
"LOC105606036" 4.58566289657999 2.18113449671608 5.33255216887705 2.89638469808802 2.26100693566216 2.87580376900929
"LOC101116715" 14.4166280168342 12.2904992971759 14.4544900598315 12.0725541681154 10.7364382595792 11.1847617423599
"LOC105606035" 0 0 0.0548075450246392 0 0 0.270238000542149
"LOC105606034" 0 0.156631806140014 0 0 0 0.0737562328101615
"LOC101116464" 0 0 0 0 0.0690433053983594 0
"LOC101116217" 23.0251088248967 20.5795802057864 21.0618852946036 17.8609445036792 20.0265038972613 18.0652252417217
"TRNAC-ACA" 1.84106715566555 2.02714348659158 1.81257252944356 1.82417865410921 2.18412334792786 2.01401683891164
"LOC105606031" 0 0 0.034511073512289 0 0.117061810701218 0
"LOC105606030" 0 0.0358130011992768 0.0273617206874925 0 0.0928111542643931 0
"LOC105606029" 0 0 0 0 0 0
"LOC443313" 0 0 0 0 0 0
"LOC101115104" 6.14014650918594 9.31643456601348 16.1770657088855 7.81031155986437 11.4623022978276 7.9763796934215
"LOC105606028" 0 0.654952454112125 0 0 0.339468300443196 0.246728052880391
"LOC105606027" 0.616750236645652 0.850721960444546 1.81990351206967 2.73009772726826 0.808385529548713 1.20178746292134
"LOC105606026" 0.574625031803062 0.264205348470136 0.807428889721478 0 0.456467437954436 0
"TRNAA-UGC" 5.2705631499485 7.13109806287452 6.50962841647144 14.5015583734794 11.2003584312894 13.9987573772905
"LOC101114504" 0.62216806303498 1.50184143435782 0.546395954484657 1.10796329870681 0.370675805080467 0.336762370440676
"LOC105606024" 0 0 0 0 0.595881138216382 0
"LOC105606023" 0.102335775153099 0.10586857461379 0.134808880907379 0.195257788996609 0.0304848465367756 0.199409492335537
"LOC101114000" 0.521194409906941 1.35795219036847 0.854409920384108 3.88938367330245 2.34613326638304 3.04676773685969
"LOC101113741" 0 0 0 0 0 0
"LOC101113478" 0 0 0 0 0 0
"LOC100846990" 0 0 0 0 0 0
"LOC101113217" 15.0299860612251 13.2372021670951 12.9392537436483 15.9408531321554 13.5369670345176 16.0414679654538
"LOC101112964" 0 0 0.109316411329798 0 0 0.089833885738807
"LOC105606022" 0 0 0.307132041784007 0 0.1157549005339 0
"LOC105606021" 0 0 0.22859899121388 0 0 0
"LOC101112713" 0.0515838866625377 0.142305726310134 0 0 0 0
"LOC101112465" 0 0 0 0 0 0
"LOC101112208" 7.64511410625226 12.619882632481 8.58516211447682 5.73913264250774 10.1549916443691 6.02397202196178
"LOC101111949" 0 0 0 0 0 0
"LOC101111437" 0 0 0 0 0 0
"LOC101111174" 3.52806026626469 1.80530448310032 4.31775314346575 2.7794902483894 2.98341386017305 2.06980495482507
"LOC105613971" 0 0 0.185736680361277 0 0.210006720586676 0.22895163934821
"LOC101110921" 0 0 0.0842396282583431 0 0.0952471425652958 0.103839483672889
"LOC105606018" 0 0 0 0 0 0
"LOC105606017" 0.141257544923758 0 0 0 0.0561056915853087 0.183501128382981
"LOC105606016" 8.09557590089046 6.07746883089915 6.56855083010892 3.93679388039346 4.22562570032979 3.76921936677137
"LOC101110404" 0.532898104734248 0.367529749840347 0.0701996902152859 0.559226507488451 0.277804165815446 0.519197418364444
"LOC101110134" 0.141783643787534 0 0.398451872953802 0 0.225258605322022 0.245579412038303
"LOC105606015" 3.66472478788924 2.78895604360177 2.75229391247383 2.31470411971682 3.96520573177433 2.29825645606302
"LOC101109870" 0.234450551851904 0.107797409306522 0.178444478130003 0.318104349700198 0.124161017252169 0.101521281189044
"LOC101109081" 4.53201289963724 5.00102981032758 8.4775527679183 1.21059829177898 3.24010368905158 4.70986229516317
"LOC101108819" 0.175230878513017 0 0 0 0.208798396532668 0.151756207439089
"LOC105606011" 0 0 0.753410759775322 0.363747843539223 0.283952748962267 0.92870524129978
"LOC105606009" 0.291297242329625 0.251127752312002 0.383731448666054 0 0 0
"LOC101108297" 0.0310830033532989 0 0 0 0.0740746301640696 0
"LOC105606008" 0.491778285580014 1.16286921541181 0.518263180080741 0.643418330855539 0.334848085973497 1.27769274719997
"LOC105614484" 0.0829387981632959 0 0 0.126598514172965 0 0
"LOC443035" 0 0 0 0 0 0.198012228625479
"LOC105606007" 2.20126340839523 2.63447106079757 2.55861753558903 2.96473051047913 2.85437705940258 3.74265843097788
"LOC105606006" 6.89481569288869 5.25577395616196 6.21446051181968 1.93868823848787 2.81059932753 3.24092401007653
"LOC105606005" 2.08527086524391 1.40309453596365 1.71517960542037 0.621068462315467 1.45447540350211 0.858912763246189
"LOC105606004" 0 0 0 0.389991396009335 0 0
"LOC101106752" 0 0 0 0 0 0
"LOC105612641" 0 0 0 0 0 0
"LOC101106243" 0.143520860912169 0 0.20166697057134 0.109535754958324 0.456037214167486 0
"LOC105606001" 4.29257089290837 6.22621671242179 4.75693175439659 4.72840483624221 5.11486290000819 4.77145596074944
"LOC105606002" 7.80900684245186 5.75715368085456 12.0605674674909 2.26063978093475 3.52944981866627 2.44862867334743
"LOC101105989" 0 0 0 0.15511169304075 0 0
"CYP2C19" 1.2932113242277 0.891903405663518 0.511071630038674 2.96095378371419 0.19261762907313 2.30993246323289
"LOC105606000" 0.0385117939878127 0 0.0811717207041698 0.117569485089309 0.550670126212105 0.200115545166265
"LOC101105483" 0 0 0 0 0 0
"LOC105605999" 0 0 0 0 0.155280964130842 0.169289017027688
"LOC101105228" 0 0 0 0 0 0
"LOC101104974" 0 0 0 0 0 0
"LOC101104726" 0 0 0 0 0 0
"LOC101104468" 0 0 0 0 0 0.258834434277858
"LOC101104216" 0 0 0 0 0 0
"LOC101103958" 0.395521125786523 0.363711258932915 0 0 0.471287809316593 0.342535439648231
"LOC101103707" 0 0.261004351703956 0.199411608365509 0.433243004700025 0.676405616353731 0.368712425716408
"LOC105605996" 0 0 0 0 0 0
"LOC105605995" 15.1797530968069 16.8716060634128 17.2988787636952 11.3115871784434 7.26352914908266 10.0408053325457
"LOC101103460" 0 0 0 0 0 0
"LOC101103220" 18.5108384879974 19.2063523836002 21.0121363210368 14.7883874315241 14.2769714111706 16.902521026072
"LOC105605992" 0 0 0 0 1.14116859488609 0
"LOC101102967" 2.96773747943987 0.705790497425264 1.94124788506625 1.40585608077559 0.426787851514859 0.26587932311405
"LOC101102215" 7.77724139088935 6.88277323048474 8.41368273560617 6.56595683676733 5.90467709570891 10.0583499862807
"LOC101102464" 3.689717378408 4.40169224956141 4.46643805033799 3.04433362176246 3.80240066193872 2.72043126675437
"LOC105605991" 0 0 0 0 0 0
"LOC101123279" 661.205675391843 698.753158531731 731.620474075794 769.651894111138 783.761770505285 756.10444964934
"TRNAS-GGA" 1.28281930585732 2.09587999412085 1.53566020892004 1.15965543641397 1.17238937720232 1.25388310397547
"LOC105605990" 0.195676732752263 0.215927270145216 0.0412429945597902 0 0.186528714044604 0.05083891451988
"LOC105605988" 0.0489003318650647 0.0674512691180984 0.154601629896092 0.074641898529725 0 0
"LOC101122847" 2.37099016141174 1.26813529985428 4.38543956071317 3.39752275595549 2.76752421867513 2.82861129261468
"LOC101122586" 0 0 0 1.12287377788195 0 0.191124846760245
"LOC101122340" 0 0 0 0 0 0
"SLC2A5" 0.239301676418771 0.183379825417984 0.210157794437066 0.365272192804972 0.221777657780377 0.207243809740024
"LOC105605987" 0.0849278490952657 0.0390487547934111 0.179003337236078 0.216057698477007 0.0337322562905537 0.0367752772628468
"LOC101121839" 0.605469715418733 0.835162035919517 0.265865625964453 0.462097161076667 0.901818124189306 0.720992836436509
"LOC105605986" 0.137743675647048 0 0.145161910295924 0.105126581647021 0.0820650414232874 0
"LOC101121584" 0 0 0 0 0.0865883114229961 0
"LOC101121331" 0 0 0.0704771593465717 0.102079434352905 0 0
"LOC101121080" 8.17016629947713 6.65468424141915 5.72712898745451 7.44875045080029 8.58993257694665 8.66847925701189
"LOC101120817" 0.815866386524822 0 0 0.533719568361799 0 0
"LOC105605984" 0.0240790059183762 0 0 0 0 0.0312799203663588
"LOC101120560" 16.9822377718381 17.2278292909987 17.74809517328 14.1098091912997 15.5549000086072 15.0025919448339
"LOC101120064" 1.7360414234441 2.39462990917966 2.09089891637972 0.252372282325259 0.591028685950777 1.28869196349741
"PSMG4" 73.3488856987443 108.099182823235 92.5825914416213 90.4622899351324 80.4210351538956 82.6037387151694
