##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR21623193_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	55419239
Total Bases	7.6 Gbp
Sequences flagged as poor quality	0
Sequence length	92-141
%GC	44
>>END_MODULE
1104	4	-0.020904766775615258
1104	5	0.030533054896707768
1104	6	-0.005760584930527557
1104	7	-0.04480432258014133
1104	8	0.02953343534883146
1104	9	-0.047110972409406315
1104	10-14	0.009522826248201
1104	15-19	-0.02548283301356946
1104	20-24	-0.036583713847477384
1104	25-29	-0.018035999906125255
1104	30-34	-0.06827408499291465
1104	35-39	-0.018401249605012993
1104	40-44	-0.004171906671423642
1104	45-49	-0.062358049885013145
1104	50-54	-0.053042816834143025
1104	55-59	-0.03650759875961995
1104	60-64	-0.05237919697090376
1104	65-69	-0.025853456970317268
1104	70-74	-0.05114041593438401
1104	75-79	-0.08041688977858996
1104	80-84	-0.07272757265177887
1104	85-89	-0.10129294598036864
1104	90-94	-0.12491825138380364
1104	95-99	-0.09257280446370686
1104	100-104	-0.10183832062133291
1104	105-109	-0.14125173775550337
1104	110-114	-0.13251949236213534
1104	115-119	-0.16574911922522517
1104	120-124	-0.08096999984514497
1104	125-129	-0.10124515692574931
1104	130-134	-0.09787047931899906
1104	135-139	-0.1876692968110163
1104	140-141	-0.0798799958806029
1105	1	0.05829584198119875
1105	2	-0.040253010201503514
1105	3	0.037211267443410634
1105	4	-0.009082898430499142
1105	5	0.02122813932480483
1105	6	-0.0391530021812585
1105	7	-0.05691083280984088
1105	8	0.02975821953225477
1105	9	0.07846153085291974
1105	10-14	-0.02695608178814979
1105	15-19	-0.013679955532843735
1105	20-24	-0.020610374014367494
1105	25-29	-0.035318548705632224
1105	30-34	-0.05940886651782762
1105	35-39	-0.07091935752684009
1105	40-44	-0.06284931124591964
1105	45-49	-0.05278180150926204
1105	50-54	-0.07892590584525294
1105	55-59	-0.10206868318440598
1105	60-64	-0.07895851450467717
1105	65-69	-0.05796211168644305
1105	70-74	-0.060869519765667235
1105	75-79	-0.09387898073023848
1105	80-84	-0.03682484611415049
1105	85-89	-0.08993299338015248
1105	90-94	-0.05345144369158561
1105	95-99	-0.09253827163860961
1105	100-104	-0.06386245810600855
1105	105-109	-0.13141566719288988
1105	110-114	-0.120200412234297
1105	115-119	-0.05591186030243023
1105	120-124	-0.12579970500390658
1105	125-129	-0.050031571836889555
1105	130-134	-0.07737375822135562
1105	135-139	-0.1599620264733943
1105	140-141	0.06871770793424758
1106	1	0.01792355544015578
1106	2	-0.0074999726545641465
1106	3	-0.0033840419721613557
1106	4	0.027118295387957403
1106	5	4.8130636709231567E-4
1106	6	-0.0328315594856079
1106	7	-0.02496027486109398
1106	8	-0.010834684570149022
1106	9	0.01774202896530852
1106	10-14	-0.012630237928775045
1106	15-19	0.0034738094255502006
1106	20-24	-0.024907426834474222
1106	25-29	-0.030906063228407277
1106	30-34	-0.05721675359565381
1106	35-39	-0.051371903215212456
1106	40-44	-0.02597882505381932
1106	45-49	-0.035346010784941484
1106	50-54	-0.0444439739424638
1106	55-59	-0.026998456430497697
1106	60-64	-0.01398581480914629
1106	65-69	-0.01863199699775464
1106	70-74	-0.0924969714370576
1106	75-79	-0.07697009902744867
1106	80-84	-0.03861127779850193
1106	85-89	-0.06886991208448734
1106	90-94	-0.09959819393990443
1106	95-99	-0.07669618932580846
1106	100-104	-0.09644116805073111
1106	105-109	-0.10884499849201745
1106	110-114	-0.0729239804180537
1106	115-119	-0.05360915756099871
1106	120-124	-0.10103238226501787
1106	125-129	-0.08724958111309178
1106	130-134	-0.0992918616256091
1106	135-139	-0.07863932626045056
1106	140-141	-0.029868957971764587
1107	1	-0.02051975387376359
1107	2	0.009766100035911052
1107	3	0.0802335424032421
1107	4	-0.012969364328306199
1107	5	-0.010425906942941765
1107	6	0.01896845728727925
1107	7	-0.0398678002458297
1107	8	-6.116523327008849E-4
1107	9	-0.04144266912152972
1107	10-14	-0.016294912308723042
1107	15-19	-0.021772876860445933
